test,used,usr,read,writ,acc,time
e1-b256,790177792.00 +/- 259079177.76,65.52 +/- 35.00,78.91 +/- 160.71,189863.49 +/- 373661.45,0.76 +/- 0.02,237.49 +/- 9.96
e10-b256,967193606.78 +/- 144506313.74,73.99 +/- 17.54,17.33 +/- 132.64,171198.49 +/- 214910.70,0.90 +/- 0.00,2977.12 +/- 33.26
e5-b256,910350733.37 +/- 171308268.03,76.33 +/- 19.34,24.79 +/- 101.89,196015.47 +/- 243144.49,0.86 +/- 0.03,1312.76 +/- 24.48
e1-b512,781653674.67 +/- 271111199.15,65.07 +/- 38.66,92.05 +/- 170.87,149536.99 +/- 286616.89,0.59 +/- 0.04,216.82 +/- 6.92
e10-b512,974316597.89 +/- 144127774.42,77.10 +/- 17.86,113.09 +/- 1208.15,184515.15 +/- 215732.98,0.85 +/- 0.02,2624.30 +/- 26.38
e5-b512,928522978.62 +/- 175682528.59,78.56 +/- 20.46,2169.23 +/- 15087.56,180240.22 +/- 216479.45,0.88 +/- 0.00,1171.99 +/- 25.91
e1-b1024,793119061.33 +/- 277523164.04,66.22 +/- 39.41,92.05 +/- 170.86,185298.40 +/- 348024.02,0.45 +/- 0.04,206.37 +/- 6.98
e10-b1024,997400150.02 +/- 147244349.30,79.22 +/- 18.08,475.85 +/- 5146.41,192841.54 +/- 230815.32,0.79 +/- 0.03,2466.91 +/- 39.48
e5-b1024,934634549.89 +/- 179366686.51,80.94 +/- 20.38,19.59 +/- 85.34,177504.84 +/- 271442.45,0.78 +/- 0.03,1107.32 +/- 6.89
e1-b128,815037696.00 +/- 246740729.91,64.17 +/- 31.45,4813.49 +/- 18887.58,93159.56 +/- 197638.55,0.81 +/- 0.01,286.91 +/- 10.51
e10-b128,966903924.73 +/- 141375428.20,69.06 +/- 15.70,232.51 +/- 2967.35,131938.81 +/- 202849.54,0.90 +/- 0.00,3827.58 +/- 70.12
e5-b128,921833620.05 +/- 165618300.85,71.40 +/- 17.54,5955.80 +/- 53736.49,159312.64 +/- 250497.54,0.89 +/- 0.00,1615.50 +/- 23.73
